number,ProjectID,RequirementText,class,NFR,F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,label,pred_prob,pred_label
447,8, The website will allow customers to search for movies by title  actor  or director.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.98899406,1
448,8, viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9922151,1
449,8, Website shall request  and authorize credit card payment before allowing a user to stream a movie.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9930478,1
450,8, shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.98498017,1
451,8,Website shall allow customers to browse movies by categories entered in by izogn administrator.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9928116,1
452,8,Website shall allow customers to view reviews of selected movies by other customers.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9920684,1
453,8,Website shall allow customers to add their own movie review for a selected movie.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9922861,1
454,8,Website shall allow the Izogn administrator to approve a review posted by a customer.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99204683,1
455,8,System will allow customers to pay for a streaming movie with a pre-paid card.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9929671,1
456,8, Website shall allow customers to purchase pre-paid cards of $5  $10  or $20 value either by credit card or mail-in payment option.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9904145,1
457,8, System shall automatically update the main page of the website every Friday  and show the 4 latest movies that have been added to the website.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9825974,1
458,8,System shall allow users to update their billing and contact information via the “My Account” section of the website.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9919463,1
459,8, Pre-paid cards shall be distributed via email  or via a printed paper card.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.98551095,1
460,8,Only registered customers can purchase streaming movies.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.7043699,1
461,8, Movies can only be streamed if the customer has purchased a movie  and is within the 2-day time period to stream the movie.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.97885305,1
462,8,Website must be able to support free trial periods with various parameters set by the Izogn Manager.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9916773,1
463,8, All streaming movie sales will be logged in the database  and accessible by the administrator.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99309725,1
464,8, All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9860342,1
465,8, Daily usage statistics should be logged  and accessible by the administrator.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.98919034,1
466,8,The owner shall have free access to all of the streaming movies.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.991366,1
475,9,The vendor will verify the invalid lead.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9926467,1
476,9,Vendor will submit a credit validation record to be applied to the enterprise billing system.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9916951,1
477,9,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99291795,1
478,9,The leads washing functionality will validate all leads received by the web service for valid data,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99194145,1
479,9,The leads washing functionality will insert all leads captured by the web service.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9937489,1
480,9,If the leads score falls within the high average score then it will be process by the ARA functionality.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9939004,1
481,9,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9928733,1
482,9,If the leads score falls within the low average then it will be returned to the supplying vendor,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99367964,1
483,9,The leads washing functionality will compile both contact and academic scoring information for a total score.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9933775,1
484,9,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99383223,1
485,9,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99371874,1
486,9,The leads washing functionality will have an interface in which lead data parameters can be maintained.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99393,1
487,9,The leads washing functionality will verify the users authentication and rights to make parameter updates.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9916311,1
488,9,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99342394,1
489,9,Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99277157,1
490,9,The leads washing functionality shall receive a period list of available reps from the enterprise system.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99372673,1
506,10,The product shall maintain a list of players.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9911048,1
507,10,The product shall allow a user to identify himself or herself as a player.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.992581,1
508,10, Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9926358,1
509,10,The product shall allow a user to remove himself or herself from the list of players at any time.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9915236,1
510,10,The product shall make inactive players unavailable for selection from the list of players.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99160963,1
511,10,The product shall remove players who have been inactive for 24 hours from the list of players.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99004585,1
512,10,The product shall allow a player to initiate a game by selecting another available player from the list of players.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9930761,1
513,10, Once a game is initiated  the product shall display a defensive grid to each player,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9933651,1
514,10, Once a game is initiated  the product shall display an offensive grid to each player.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99306434,1
515,10,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9914253,1
516,10, Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9928201,1
517,10,The product shall allow a player to position ships horizontally on their grid.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99366534,1
518,10,The product shall allow the player to position ships vertically on their grid.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9936237,1
519,10,The product shall allow the player to position ships diagonally on their grid,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99304247,1
520,10,The product shall prevent the player from overlapping ships on their grid.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9929189,1
521,10, When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9931565,1
522,10, For each turn  the product shall identify one player as offensive status and one player as defensive status.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99140364,1
523,10, The product shall maintain the status of each player for a turn  either offensive or defensive.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9940612,1
524,10, At the start of each turn  the product shall notify each player of his or her status.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99331105,1
525,10, For each turn  the product shall allow the offensive player to define a shot.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9926628,1
526,10, For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99287206,1
527,10, For each shot  the product shall notify the players whether the shot was a hit or miss.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99375653,1
528,10, For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.993652,1
529,10, For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9938,1
530,10, When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9930483,1
531,10, When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9924259,1
532,10, When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99304307,1
533,10, When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9926575,1
534,10, If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99273974,1
535,10, If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9925271,1
536,10, If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9924831,1
537,10,The product shall continue to assign turns until the game is ended.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9907356,1
538,10, The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player’s ships  which had not been previously marked as sunk.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9922848,1
539,10,The product shall allow a player to end a game at any time during the game.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99209857,1
540,10, When a game is ended  the product shall notify the players that the game is ended.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9934324,1
541,10, The notification of the game ending will include the reason the game is ended (i.e.  a player has won the game or a player has ended the game).,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99264586,1
542,10, When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.99355763,1
543,10, When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,F,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9930756,1
