number;ProjectID;RequirementText;class;NFR;F;A;FT;L;LF;MN;O;PE;PO;SC;SE;US
276;nasa x38.doc_276;The CT shall (3.2.2.2.2) also contain time-outs and vote masks.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
277;nasa x38.doc_277;It shall (3.2.2.2.3) be possible to modify the CT whenever any of this information is changed by using a CT update primitive in a synchronous and atomic manner.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
278;nasa x38.doc_278;The NE shall (3.2.2.3.1) be configured to automatically enter ISYNC microcode following power on.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
279;nasa x38.doc_279;The NE shall (3.2.2.3.2) start transmitting a sync message using class 2 exchanges once 3 fault tolerant clocks have synchronized, thus enabling inter-NE data exchanges.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
280;nasa x38.doc_280;A time-out period shall (3.2.2.3.3) be started when 3 NEs have joined in.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
281;nasa x38.doc_281;The ISYNC procedure shall (3.2.2.3.4) terminate when all 5 NEs are synchronized, four NEs are synchronized (when only four NEs are powered), or after the time-out period.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
282;nasa x38.doc_282;The NE microcode shall (3.2.2.3.6) initialize the time-outs and vote masks in the NE CT using values stored in the NE.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
283;nasa x38.doc_283;The maximum time-out value shall (3.2.2.3.7) be 327.68 microseconds (256 counts of the least significant bit of the fault tolerant clock which is 1.28 microseconds).;F;0;1;0;0;0;0;0;0;0;0;0;0;0
284;nasa x38.doc_284;An NE that fails to synchronize with other NEs during ISYNC after a pre-defined time-out period shall (3.2.2.4.1) then enter TNR microcode.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
285;nasa x38.doc_285;An NE shall (3.2.2.4.12) directly enter TNR microcode after a voted reset or an NE watchdog timer reset.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
286;nasa x38.doc_286;It shall (3.2.2.4.2) stay in TNR mode indefinitely until a successful TNR exchange is observed.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
287;nasa x38.doc_287;"The operational NEs shall (3.2.2.4.3) enter a ""working group"" TNR routine when the FCPs request to send a TNR packet.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
288;nasa x38.doc_288;If no new NE is observed, the functioning NEs shall (3.2.2.4.6) return to the operational mode within 500 microseconds.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
289;nasa x38.doc_289;If there is a new NE, the state of the reintegrated NE shall (3.2.2.4.13) be made congruent with the state of the operational NEs as follows.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
290;nasa x38.doc_290;The Configuration Table shall (3.2.2.4.7) be exchanged and voted into the newly recovered NE.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
291;nasa x38.doc_291;Time-outs in the scoreboard shall (3.2.2.4.8) be aligned by resetting all time-outs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
292;nasa x38.doc_292;The global synchronous timer shall (3.2.2.4.9) be realigned by exchanging and voting the timer value.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
293;nasa x38.doc_293;The timer value will stop incrementing until the realignment of the timer is complete.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
294;nasa x38.doc_294;Provided the failed NE is in a recoverable state, recovery of a failed NE shall (3.2.2.4.11) take no longer than 500 microseconds. ;F;0;1;0;0;0;0;0;0;0;0;0;0;0
295;nasa x38.doc_295;This recovery requirement includes the time from which the FTSS software initiates the recovery to the time the recovery is complete.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
296;nasa x38.doc_296;There shall (3.2.2.5.1) be built-in support on the NE for voted resets, including a special packet type for executing the primitive.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
297;nasa x38.doc_297;The NE shall (3.2.2.5.3) provide the capability to perform a voted VME bus reset.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
298;nasa x38.doc_298;The NE shall (3.2.2.6.1) place error syndromes in the input information block whenever a packet is successfully delivered to the FCP.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
299;nasa x38.doc_299;The NE syndromes shall (3.2.2.6.2) be located in the second longword of the input information block buffer cell.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
300;nasa x38.doc_300;The NE syndromes shall (3.2.2.6.3) include indications of vote errors, fault-tolerant clock synchronization errors, and fiber-optic link errors, as detailed below.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
301;nasa x38.doc_301;Each syndrome shall (3.2.2.6.4) represent an occurrence of the indicated error at some time between delivery of the previous packet and delivery of the current packet.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
302;nasa x38.doc_302;The scoreboard syndromes shall (3.2.2.6.5) be located in the third longword of the input information block buffer cell.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
303;nasa x38.doc_303;They shall (3.2.2.6.6) include indications of scoreboard vote errors, Output Buffer Not Empty (OBNE) time-outs, and Input Buffer Not Full (IBNF) time-outs, as follows.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
304;nasa x38.doc_304;When a majority, but not a unanimity, of FCP members are observed with packets in their output buffers, a time-out shall (3.2.2.6.7) be initiated.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
305;nasa x38.doc_305;If the time-out expires before the other members transmit the packet, the remaining member shall (3.2.2.6.8) be ignored, the packet exchanged, and an OBNE time-out recorded.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
306;nasa x38.doc_306;When a majority, but not a unanimity, of FCP members are observed with room in their input buffers, a time-out shall (3.2.2.6.15) be initiated.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
307;nasa x38.doc_307;If the time-out expires before the other members have room in their input buffers, any member without room in their input buffer shall (3.2.2.6.16) be ignored, the packet exchanged, and an IBNF time-out recorded.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
308;nasa x38.doc_308;The timestamps shall (3.2.2.7.2) be congruent across all members of the destination FCP.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
309;nasa x38.doc_309;The NE shall (3.2.2.7.1) place a timestamp in the input information block of each packet successfully delivered to an FCP or ICP.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
310;nasa x38.doc_310;The timestamps shall (3.2.2.7.3) also be congruent across all active processors in the case of a broadcast.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
311;nasa x38.doc_311;The timestamp shall (3.2.2.7.4) be a 32-bit quantity that indicates relative time within the FCC.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
312;nasa x38.doc_312;The resolution of the timestamp shall (3.2.2.7.5) be 1.28 microseconds.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
313;nasa x38.doc_313;When the timestamp counter reaches the maximum value (Hex FFFFFFFF or approximately 5500 seconds), it shall (3.2.2.7.6) wrap around to zero.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
314;nasa x38.doc_314;The timestamp counter shall (3.2.2.7.7) be initialized to zero during ISYNC.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
315;nasa x38.doc_315;The counter shall (3.2.2.7.8) increase monotonically after that, except during TNR.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
316;nasa x38.doc_316;The timestamps shall (3.2.2.7.9) be frozen during TNR until the realignment is complete.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
317;nasa x38.doc_317;The NE shall (3.2.2.8.1) implement in microcode support commands to aid in debugging new NEs and for performing stand-alone diagnostics and self-tests.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
318;nasa x38.doc_318;As a minimum, the following diagnostic functionality shall (3.2.2.8.2) be supported.  1. VMEbus Interface test 2. Message wraparound test 3. Class 1 Voter test  4. Class 2 Voter test 5. Input Buffer Test 6. Output Buffer test  7. CT entry test 8. CT update test  9. Timestamp test;F;0;1;0;0;0;0;0;0;0;0;0;0;0
319;nasa x38.doc_319;The prototype NE shall (3.2.3.1.1.1) reside on a single commercial grade 6U VME board.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
320;nasa x38.doc_320;The prototype NE shall (3.2.3.1.1.2) dissipate no more than 35 Watts.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
321;nasa x38.doc_321;The operating temperature range for the prototype NEs shall (3.2.3.1.1.3) be from 0 to 32.2º C at the inlet to the cooling fans.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
322;nasa x38.doc_322;The storage temperature range shall (3.2.3.1.1.4) be from - 30º to + 60º C.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
323;nasa x38.doc_323;The prototype NE shall (3.2.3.1.1.6) be fabricated using commercial grade components.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
324;nasa x38.doc_324;Each flight NE shall (3.2.3.1.2.1) reside on a single ruggedized, wedge-locked, conduction-cooled 6U VME board.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
325;nasa x38.doc_325;It shall (3.2.3.1.2.2) be able to be installed in an Air Transportable Rack (ATR) Chassis with .8 pitch spacing card slots.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
326;nasa x38.doc_326;The conduction-cooled boards’ mechanical core shall (3.2.3.1.2.3) be designed in accordance with IEEE 1101.2.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
327;nasa x38.doc_327;Power de-coupling mechanisms shall (3.2.3.1.2.4) be designed into the NE.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
328;nasa x38.doc_328;Backplane connector form factors shall (3.2.3.1.2.5) be in accordance with the VME64 with extensions (5 row P1 and P2) draft standard.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
329;nasa x38.doc_329;"Connector P2 shall (3.2.3.1.2.6) have all pins in row z connected to ground;Row d pins 1 through 31 connected to ground and row d pin 32 connected to +5 VDC.";F;0;1;0;0;0;0;0;0;0;0;0;0;0
330;nasa x38.doc_330;Connector P1 shall (3.2.3.1.2.7) have Row z pins 1 through 32 connected to ground, row d pins 1 and 32 connected to +5 VDC, row d pins 2 through 31 connected to ground with the exception of pins 3 through 8, pins 12, 14, 16, 18, 20, 22, 24, 26, 28, and 30 which will not be connected.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
331;nasa x38.doc_331;Connector P1 pins 1 and 32 of row d shall (3.2.3.1.2.8) be connected to +5V.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
332;nasa x38.doc_332;The inter-NE communications shall (3.2.3.1.2.9) be through fiber.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
333;nasa x38.doc_333;Test points shall (3.2.3.1.2.10) be made available at the P2 connector for examining the operational status of the NE.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
334;nasa x38.doc_334;Each flight NE shall (3.2.3.1.2.11) dissipate no more than 35 Watts.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
335;nasa x38.doc_335;Each flight NE shall (3.2.3.1.2.12) be conduction-cooled.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
336;nasa x38.doc_336;Flight hardware shall (3.2.3.1.2.13) be fabricated using radiation-hardened and/or radiation tolerant components.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
337;nasa x38.doc_337;Fabrication and assembly of the boards shall (3.2.3.1.2.14) meet NAS 5300.4(3L), NAS 5300.4(3J-1), NHB5300.4(3A-2), IPC 275, IPC 6011, IPC 6012 and GSFC-S-312-P-003.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
338;nasa x38.doc_338;The flight NE shall (3.2.3.1.3.1) be capable of meeting all performance requirements specified herein during and after exposure to the environmental service conditions specified herein.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
339;nasa x38.doc_339;The flight NE shall (3.2.3.1.3.2) be designed and constructed so that no part of any component shifts in setting, position, or adjustment.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
340;nasa x38.doc_340;No degradation shall (3.2.3.1.3.3) be caused in the performance that is specified in Subsections 3.2.3.1.3.1 through 3.2.3.1.3.11;F;0;1;0;0;0;0;0;0;0;0;0;0;0
341;nasa x38.doc_341;The flight NE shall (3.2.3.1.3.1.1) meet the following temperature requirement while operating, 32 F to 149 F (0 C to 65 C) at the card edge.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
342;nasa x38.doc_342;The NE shall (3.2.3.1.3.1.2) operate with a worst case card edge thermal interface temperature of +65 °C for greater than 10 hours.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
343;nasa x38.doc_343;The storage (i.e., non-operating) temperature range for the flight NE shall (3.2.3.1.3.1.3) be from -30 °C to 60 °C.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
344;nasa x38.doc_344;For qualification testing, the flight NE shall (3.2.3.1.3.1.4) meet the following temperature requirement while operating, 12 F to 152 F (-11 C to 66.7 C) at the card edge.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
345;nasa x38.doc_345;The flight NE shall (3.2.3.1.3.2.1) be capable of complying with all of the performance specified herein while not operating during all specified levels.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
346;nasa x38.doc_346;The flight NE shall (3.2.3.1.3.2.1.1) be capable of withstanding the following environment in non-operational mode: Frequency, Hz Qualification Level g2/Hz  20  0.026  20-50 +3 dB/Octave  50-800  0.16 800-2000 -3 dB/Octave 2000 0.026;F;0;1;0;0;0;0;0;0;0;0;0;0;0
347;nasa x38.doc_347;For qualification testing, the sweep time per axis shall (3.2.3.1.3.2.1.2) be 3 minutes, 14.1 g-rms overall.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
348;nasa x38.doc_348;The flight NE shall (3.2.3.1.3.2.1.3) be non operating during the application of this vibration in all axes.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
349;nasa x38.doc_349;The flight NE shall (3.2.3.1.3.3.1) be designed to be capable of complying with all the performance requirements specified herein while being subjected to the total dose, single event upset and latchup immune requirements in SSP 30512 Rev. C.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
350;nasa x38.doc_350;All radiation test results shall (3.2.3.1.3.3.7) be characterized and documented.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
351;nasa x38.doc_351;The flight NE shall (3.2.3.1.3.4.1) be designed to be capable of complying with all the performance requirements specified herein after being subjected to a total of six impact shocks, consisting of six shocks (one in each opposite direction) along each of three orthogonal axes.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
352;nasa x38.doc_352;The waveform and amplitude of the shock pulses shall (3.2.3.1.3.4.2) be sawtooth shock pulse 20g peak, 11 milliseconds nominal duration.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
353;nasa x38.doc_353;The flight NE shall (3.2.3.1.3.5.1) be designed to comply with all of the performance requirements specified herein while withstanding the effects of up to 90% relative humidity, non condensing while operating.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
354;nasa x38.doc_354;The flight NE shall (3.2.3.1.3.6.1) be designed to be capable of complying with all the performance requirements specified herein while non-operating in an atmosphere of 8 to 18 Psia.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
355;nasa x38.doc_355;The flight NE shall (3.2.3.1.3.8.1) be designed to be electromagnetically compatible with the Radstone Power PC 604R.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
356;nasa x38.doc_356;The design, manufacturing, and radiation environment composite failure rate/Mean Time Between Failures (MTBFs) of the flight NE shall (3.2.3.1.3.10.1.1) be predicted using techniques in MIL-HDBK 217 or other commonly accepted procedures.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
357;nasa x38.doc_357;The useful operating service life shall (3.2.3.1.3.10.2.1) be a minimum of 30,000 hours.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
358;nasa x38.doc_358;The useful operating life shall (3.2.3.1.3.10.2.2) be determined by analysis and presented at the critical design review.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
359;nasa x38.doc_359;The flight NE storage life shall (3.2.3.1.3.10.3.1) be 5 years or better.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
360;nasa x38.doc_360;For acceptance testing, the flight NE shall (3.2.3.1.3.12.1.3) meet the following temperature requirement while operating, 32 F to 132 F (0 C to 55.6 C) at the card edge.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
361;nasa x38.doc_361;The ESS random vibration Power Spectral Density for the flight NE shall (3.2.3.1.3.12.2.1) be as follows: Total 10.8 grms …[  Frequency, Hz  Level g2/Hz 20 0.015  20-50 +3 dB/Octave  50-800  0.09 800-2000  -3 dB/Octave 2000 0.015;F;0;1;0;0;0;0;0;0;0;0;0;0;0
362;nasa x38.doc_362;The X-38 NE shall (3.2.3.2.1) be able to communicate with 4 other NEs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
363;nasa x38.doc_363;The NE shall (3.2.3.2.2) support at least two physical processors per FCR.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
364;nasa x38.doc_364;The NE shall (3.2.3.2.3) support at least 6 virtual groups.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
365;nasa x38.doc_365;The NE shall (3.2.3.2.5) support class 1 and class 2 bandwidth of at least 1 Mbyte/sec.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
366;nasa x38.doc_366;The skew between NEs, measured at delivery of messages to dual-port RAM accessible by the processors via the VME bus, shall (3.2.3.2.6) be no more than 100 nsecs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
367;nasa x38.doc_367;The NEs shall (3.2.3.2.7) be able to achieve phase-locked synchronization of the fault-tolerant clocks in less than 5 milliseconds from the time the last FCC powered up and exited the reset state;F;0;1;0;0;0;0;0;0;0;0;0;0;0
368;nasa x38.doc_368;The contractor shall (3.2.4.1) maintain a product identification and tracking system.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
369;nasa x38.doc_369;Each NE and flight cable assembly shall (3.2.4.2) be identified by a part or type number and a unique serial number, consistent with the configuration management system and the specification for the contract.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
370;nasa x38.doc_370;The presence, or absence of, an NEFU ICP shall (3.2.5.2) not impact the NE firmware (i.e., the NE firmware will not be different).;F;0;1;0;0;0;0;0;0;0;0;0;0;0
371;nasa x38.doc_371;Fault Tolerant System Services (FTSS) software shall (3.3.1.1) use VxWorks Version 5.4 as the Operating System.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
372;nasa x38.doc_372;The software shall (3.3.1.2) be written in the C programming language, with the exception of the system loader software which may be written in scripts, and operate on a PowerPC 604R.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
373;nasa x38.doc_373;The FTSS software and the VxWorks operating system, together, shall (3.3.1.3) take up no more than 3 Megabytes of ROM, when loaded into FCP or ICP memory.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
374;nasa x38.doc_374;The FTSS software and the VxWorks operating system shall (3.3.1.4) utilize no more than 9 Megabytes of DRAM code and data space.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
375;nasa x38.doc_375;Of the 9 Megabytes of DRAM allocation, only 4 Megabytes of FTSS/VxWork’s DRAM shall (3.3.1.5) be re-aligned during any re-alignment attempts.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
376;nasa x38.doc_376;Upon CPU reset caused by power on, watchdog timer or by other means, Start Up shall (3.3.2.1) execute the initial BIT (IBIT).;F;0;1;0;0;0;0;0;0;0;0;0;0;0
377;nasa x38.doc_377;After successfully completing IBIT, the software shall (3.3.2.3) continue with the initialization of VxWorks and FTSS software.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
378;nasa x38.doc_378;If MPCC IBIT failed, the FTSS SW shall (3.3.2.24) switch to using the redundant MPCC card in that C&T FCR.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
379;nasa x38.doc_379;If the 5th ICP fails, the FTSS SW shall (3.3.2.25) ignore the error and allow the NE to continue the synch process and become part of the voting group, if possible.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
380;nasa x38.doc_380;On each FCP, the FTPP system shall (3.3.2.26) configure the Radstone firmware to perform the IBIT tests shown in Table 3.3.2.1, FCP IBIT Table.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
381;nasa x38.doc_381;The FTPP system shall (3.3.2.27) configure the Radstone processor to halt processing if any of the MPE tests, mentioned in Table 3.3.2.1, FCP IBIT Table, fail.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
382;nasa x38.doc_382;The FTPP system shall (3.3.2.28) configure the Radstone processor to continue processing if any of the Power-up tests or Initial BIT tests mentioned in Table 3.3.2.1, FCP IBIT Table, fail.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
383;nasa x38.doc_383;In all FCP IBIT cases, provided the hardware state permits, the FTSS shall (3.3.2.29) log the error and report it in the X-38 telemetry stream.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
384;nasa x38.doc_384;Upon completion of logging a Power-up test or Initial BIT test failure, the FTSS system shall (3.3.2.43) consider the FCP failed and attempt recovery actions as stated in requirement 3.3.5.29.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
385;nasa x38.doc_385;On each ICP, the FTPP system shall (3.3.2.30) configure the Radstone firmware to perform the IBIT tests shown in Table 3.3.2.2, ICP IBIT Table.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
386;nasa x38.doc_386;The FTPP system shall (3.3.2.31) configure the Radstone processor to halt processing if any of the MPE tests, mentioned in Table 3.3.2.2, ICP IBIT Table, fail.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
387;nasa x38.doc_387;The FTPP system shall (3.3.2.32) configure the Radstone processor to continue processing if any of the Power-up tests or Initial BIT tests mentioned in Table 3.3.2.2, ICP IBIT Table, fail.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
388;nasa x38.doc_388;In all ICP IBIT cases, provided the hardware state permits, the FTSS shall (3.3.2.33) log the error and report it in the X-38 telemetry stream.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
389;nasa x38.doc_389;Upon completion of logging a Power-up test or Initial BIT test failure, the FTSS system shall (3.3.2.44) consider the ICP failed and attempt recovery actions as stated in requirement 3.3.5.29.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
390;nasa x38.doc_390;On each ICP/PMC1553, the FTPP system shall (3.3.2.34) configure the Radstone firmware to perform the IBIT tests shown in Table 3.3.2.3, ICP/PMC1553 IBIT Table.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
391;nasa x38.doc_391;The FTPP system shall (3.3.2.35) configure the Radstone ICP/PMC1553 card to halt processing if any of the MPE tests, mentioned in Table 3.3.2.3, ICP/PMC1553 IBIT Table, fail.;NFR;1;0;0;0;0;0;0;0;0;0;0;0;0
392;nasa x38.doc_392;The FTPP system shall (3.3.2.36) configure the Radstone ICP/PMC1553 card to continue processing if any of the Initial BIT tests mentioned in Table 3.3.2.3, ICP/PMC1553 IBIT Table, fail.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
393;nasa x38.doc_393;In all ICP/PMC1553 IBIT cases, provided the hardware state permits, the FTSS shall (3.3.2.37) log the error and report it in the X-38 telemetry stream.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
394;nasa x38.doc_394;On each MPCC, the FTPP system shall (3.3.2.38) configure the Radstone firmware to perform the IBIT tests shown in Table 3.3.2.4, MPCC IBIT Table.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
395;nasa x38.doc_395;In all MPCC IBIT cases, provided the hardware state permits, the FTSS shall (3.3.2.40) log the error and report it in the X-38 telemetry stream.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
396;nasa x38.doc_396;If IBIT fails, the FTSS SW shall (3.3.2.41) handle the failure as stated in the preceding IBIT requirements and in requirement 3.3.5.29’s table, FTPP Failure Response/Recovery Mechanisms.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
397;nasa x38.doc_397;However, the FTSS SW shall (3.3.2.42) notify the application software if the 5th ICP’s heartbeat ceases to exist.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
398;nasa x38.doc_398;The surviving triplex shall (3.3.2.5) attempt to sync with the failed FCP.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
399;nasa x38.doc_399;If the failed FCP has not synced in 2.5 seconds, after the surviving triplex has detected the loss of the FCP, then the surviving triplex shall (3.3.2.6) send a voted VMEbus reset through the NE to the failed FCP.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
400;nasa x38.doc_400;Start Up shall (3.3.2.12) synchronize its FCP with other operational FCPs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
401;nasa x38.doc_401;Start Up shall (3.3.2.13) make their state congruent.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
402;nasa x38.doc_402;The FCP state shall (3.3.2.14) include all volatile memory, read/write memory, registers, timers, and counters, except that part of the memory exclusively set aside for channel-unique information.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
403;nasa x38.doc_403;It shall (3.3.2.17) support normal synchronization following power on or reset.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
404;nasa x38.doc_404;Start Up shall (3.3.2.18) be able to synchronize all operational FCPs in the presence of this skew in the power on sequence.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
405;nasa x38.doc_405;Start Up shall (3.3.2.19) test to ensure that all four FCPs are synchronized.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
406;nasa x38.doc_406;Unsynchronized processors shall (3.3.2.20) be excluded from the FCP configuration.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
407;nasa x38.doc_407;During start up the FCP watchdog timer shall (3.3.2.45) be active.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
408;nasa x38.doc_408;System Initialization shall (3.3.2.21) initiate execution of FTSS and X-38 application code.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
409;nasa x38.doc_409;The Mission Manager Template shall (3.3.3.1) provide a mechanism for (but not limited to) creating and controlling task execution, creating message queues and other interprocessor communication mechanisms, and provide on/off capability for processor resynchronization.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
410;nasa x38.doc_410;The Scheduler shall (3.3.4.1) support three rate groups: 50 Hz (minor frame), 10 Hz (medium frame), and 1 Hz (major frame).;F;0;1;0;0;0;0;0;0;0;0;0;0;0
411;nasa x38.doc_411;The FTSS software shall (3.3.4.18) take at most 1 msec of a 50 Hz minor frame.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
412;nasa x38.doc_412;The Scheduler shall (3.3.4.3) set the timer to a count down value so as to cause the next minor frame interrupt at 20 msec (+/- 330 usecs) from the previous interrupt congruently in all operational FCPs.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
413;nasa x38.doc_413;The FTSS software shall (3.3.4.19) provide an API call which provides the application program the minor frame number.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
414;nasa x38.doc_414;Process scheduling shall (3.3.4.4) only be performed at certain controlled locations (synchronization points).;F;0;1;0;0;0;0;0;0;0;0;0;0;0
415;nasa x38.doc_415;The Scheduler shall (3.3.4.5) place processing time bounds on all rate groups to ensure that no rate group monopolizes the FCC's processor.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
416;nasa x38.doc_416;It shall (3.3.4.6) be possible to reassign a task to a different rate group as a function of the mission mode.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
417;nasa x38.doc_417;Tasks within a rate group shall (3.3.4.7) be executed in the order in which the mission manager registers the tasks.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
418;nasa x38.doc_418;It shall (3.3.4.8) be possible to alter the execution sequence of tasks within a rate group as a function of mission mode.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
419;nasa x38.doc_419;Higher iteration tasks shall (3.3.4.9) have higher priority over lower iteration tasks.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
420;nasa x38.doc_420;The Scheduler shall (3.3.4.12) detect 50 Hz, 10 Hz, and 1 Hz frame overruns at the next frame following the end of their respective rate boundaries.;F;0;1;0;0;0;0;0;0;0;0;0;0;0
